benchmark,run,time_ms,exit_code,jit_stats_printed
fibonacci,1,72,0,yes
fibonacci,2,73,0,yes
fibonacci,3,72,0,yes
json_parse,1,23,0,yes
json_parse,2,24,0,yes
json_parse,3,25,0,yes
string_ops,1,6,0,no
string_ops,2,6,0,no
string_ops,3,7,0,no
tree,1,245,0,yes
tree,2,252,0,yes
tree,3,247,0,yes
sort,1,97,0,no
sort,2,96,0,no
sort,3,97,0,no
